title,company_name,company_website,vacancies,salary
Delivery Boy - Zomato - Basti,Zomato,https://runnr.in,30,12000
Delivery Boy Biker's || Ludhiana || - (Zomato ),Zomato,https://runnr.in,140,22000
Sales Manager,Mana Projects,https://www.manaprojects.com/,1,50000
Inside Sales Executive,Sigmoid,,5,125000
Backend / Full Stack Developer,AppartmentADDA,https://adda.io/,1,50000
Fullstack Javascript Developer,Attain U,https://www.attainu.com/,5,250000
Business Development Executive,Ultramax Infonet Technologies Private LTD,https://www.ultramaxit.com/about-ultramax/,2,30000
Software Consultant,Net Access,https://digital.netaccess-india.com,4,25000
Photoshop Artist,Wolves Creata,http://wolvescreata.com/home.html,1,1417
Business Development Associate,Spocto Solutions LLP,http://www.spocto.com,1,83334
Sales Manager,Modfx Labs Pvt Ltd.,,2,41667
Senior Copywriter,Digital F5 Marketing Services Private Limited,https://www.digitalf5.com,3,66667
Senior Unity Game Developer,Appsoleut Coders LLP,http://www.appsoleutcoders.com,1,83334
Site Manager-Chennai,Hungerbox,http://www.hungerbox.com/,20,18000
Business Development Executive - Visakhapatnam,Arzooo go store,https://arzooo.com/,4,30000
Smart Distribution Officer - BHUBANESHWAR,Reliance General Insurance,https://www.reliancegeneral.co.in,19,20000
Area Head - Housing Loans (Mumbai),Jana Small Finance Bank,https://www.janabank.com/,2,83334
Executive Counselling,TalentEdge,https://talentedge.in/,5,25000
Sales Executive,Pet Like That Solutions LLP,http://www.petlikethat.com,1,28000
"Car Evaluator-Hyderabad,Delhi,Bangalore",VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,4,35000
(Assistant Manager) - Officer Inbound Credit Cards,Leading Bank,http://www.kotak.com,20,17300
Counter Sales Officer,Blowhot,https://blowhotindia.com/,4,35000
Delivery Boy Mumbai- Full Time,BLACKVELVET HOSPITALITY PRIVATE LIMITED,https://biryanibykilo.com/,15,12000
Enterprise Sales Manager,Happay,https://www.happay.com/,2,108334
Delivery Boy Biker's || Nashik || - (Zomato),Zomato,https://runnr.in,50,25000
Assistant Manager Reconciliation,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,5,50000
Driver,Lalamove,https://www.lalamove.com/thailand/bangkok/en/home,25,50000
Delivery Boy Biker's || Goa || - (Zomato),Zomato,https://runnr.in,100,25000
Business Development Manager - Chennai,MyGate,https://mygate.in/,20,50000
Delivery Boy - Zomato - Rampur,Zomato,https://runnr.in,15,16000
Dotnet Developer - SSD,Brand Systems,,3,54167
Micro Finance collection (Chennai),Jana Small Finance Bank,https://www.janabank.com/,50,16667
Assistant Manager - Freight Forwarding - Inside sales,NTC Logistics India Private Limited,,1,3334
Delivery Boy Biker's || Mumbai || - (Zomato),Zomato,https://runnr.in,100,20000
System Department Lead,K2B Secure Solution,http://www.k2bsecure.com/,1,66667
Business Development Executive:- Delhi,Digi Prex,,45,20000
Tele Calling executive,SlicePay,https://slicepay.in/,4,25000
Assistant Collection Manager - Chennai,KNAB Finance,https://www.knabfinance.com,3,58334
Business Development Manager,FSM Education Pvt Ltd,http://www.furtadosschoolofmusic.com/index.php,1,41667
Delivery Boy Biker's || Jamshedpur || - (Zomato ),Zomato,https://runnr.in,100,10000
Back Office Cum Sales Coordinator,Hira Print Solutions Pvt. Ltd,http://www.hiraprint.in,1,15000
Business Development Executive - Kolkata,Arzooo go store,https://arzooo.com/,4,30000
Associate Account Manager,The Media Ant,http://www.TheMediaAnt.com,2,33334
Fullstack Developer (MERN Stack),Simandhar Education,https://simandhareducation.com/,1,58334
Field Sales Executives - Hyderabad,PhonePe,https://www.phonepe.com/en/,150,17500
Delivery Boy Biker's || Hyderabad || - (Zomato ),Zomato,https://runnr.in,1800,25000
Primary Research Associate,Jasper Colin Research Pvt. Ltd.,,3,25000
Android Developer,Phable Care,https://phablecare.com/,2,83334
Warehouse Associate - Chaayos (Delhi/NCR),Chaayos,https://www.chaayos.com/,15,14000
Branch Relationship Manager ( Grade - DM ),Equitas Small Finance Bank,https://www.equitasbank.com/,4,83334
Business Analyst - IT,SMC Insurance Brokers Pvt Ltd,,1,100000
Key Account Manager,Spocto Solutions LLP,http://www.spocto.com,1,66667
Delivery Executives (Video JD Inside)- Swiggy - Dehradun,Swiggy,https://www.swiggy.com/,70,25000
Field Sales Executives - Bengaluru,PhonePe,https://www.phonepe.com/en/,220,19100
HR Manager,Wolves Creata,http://wolvescreata.com/home.html,1,40000
Oracle Database Administrator,Krish,https://www.krishservicesgroup.com/,2,150000
Field Sales Executives - Central Delhi & East Delhi,PhonePe,https://www.phonepe.com/en/,20,18000
MEAN Stack Developer,Phable Care,https://phablecare.com/,1,83334
Collection/ Agency Manager,SlicePay,https://slicepay.in/,1,66667
Customer Support Executive Non Voice ( Email Support),Rapido,http://www.rapido.bike,20,25000
Delivery Boy Biker's || Udaipur || - (Zomato ),Zomato,https://runnr.in,50,20000
Front Desk Executive,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,2,23000
Backend engineer (Python),Prodigal Tech,,1,250000
ASP.NET Developer,Yendigital Technologies Pvt Ltd,http://www.yendigital.com/,3,75000
Collection & Recoveries Officer ( Chennai ),Jana Small Finance Bank,https://www.janabank.com/,400,18750
Sales Promoter- Chaayos (Delhi/NCR),Chaayos,https://www.chaayos.com/,62,14000
Delivery Boy - Zomato - Bulandshahr,Zomato,https://runnr.in,30,12000
Relationship / Sales Manager - CASA - South,RBL Bank,,4,41667
SQL Developer,Net Access,https://digital.netaccess-india.com,2,41667
Delivery Associate - Delhi,Dunzo,,120,21951
Accountant,Venus Interior Solutions,http://arizonamediaz.co/venus/,1,25000
Delivery Boy - Jaipur- Domino's,Jubilant Foodworks,https://www.dominos.co.in,30,10000
Smart Distribution Officer - Patna,Reliance General Insurance,https://www.reliancegeneral.co.in,9,20000
Smart Distribution Officer - Jaipur,Reliance General Insurance,https://www.reliancegeneral.co.in,6,20000
Chef Cook - Pune,Nestle India,https://www.nestle.in/,1,55000
Account Manager - Sales,Quest offices Pvt Ltd,https://www.questoffices.com,1,50000
Relationship Manager,Indifi Technologies Private Limited,http://www.indifi.com,40,30000
Customer Service Expert( Voice),Allianz,https://www.allianz.com/en.html,20,50000
Executive- Quality Check (Operations),Indifi Technologies Private Limited,http://www.indifi.com,3,27000
QA Automation Engineer,Navya Network,http://www.navyanetwork.com/,2,100000
Backend Operations Executive,Elevate Holidays,http://elevateholidays.com/index.html,5,35000
RO/RE/RM/BDE - Tamil Nadu (Housing Loans),Jana Small Finance Bank,https://www.janabank.com/,10,29167
Digital Marketing Executive,Aliens Group,http://aliensgroup.in,10,45000
Frontend Developer,Spoyl Tech Solutions,https://www.spoyl.in/,1,250000
District Sales Manager,Kissht,https://kissht.com/,3,30000
Product Sales Executive - Delhi,Instinct Innovations Pvt Ltd,http://www.redbook.co.in,8,35000
AutoCAD Draughtsman,K2B Secure Solution,http://www.k2bsecure.com/,1,12000
Chef Cook - Delhi,Nestle India,https://www.nestle.in/,2,30000
Corporate Fundraising & Relationship Manager,Magic Bus,https://www.magicbus.org/,1,50000
Technical Lead- Inapps,Moengage India Pvt Ltd,https://www.moengage.com/,1,0
Chef Cook - Hyderabad,Nestle India,https://www.nestle.in/,1,30000
C C++ Developer - Media Domain,Riversilica Technologies Pvt Ltd,,2,0
UI/UX Designer,Limra Technosys Pvt Ltd,,1,50000
Sales Associate,Phable Care,https://phablecare.com/,3,41667
Social Media Customer Support Executive,Humain Health,https://sigtuple.com,2,33334
Wealth Manager,Diemnsions Corporate Finance Services Pvt Ltd,http://www.dimensionsonline.com/default.aspx,1,45000
